Number,Title,Satisfaction,Reviews,Price
1,Python을 활용한 빅데이터 분석과 시각화,4.9,5,"110,000"
2,칼퇴를 위한 데이터 분석 정복코스 (Feat.Python),4.9,0,"522,500"
3,비전공자도 쉽게 하는Python입문,4.9,1,"110,000"
4,코알못 탈출! 왕초보 파이썬 수업 [초급],4.7,0,"200,000"
5,[K-디지털 기초역량훈련] 실습으로 뽀개는 왕초보 파이썬,4.3,19,"200,000"
6,[ITⓔ코칭] 파이썬으로 시작하는 친절한 코딩클래스,4.5,4,"85,000"
7,파이썬을 이용한 자동화 스크립트,4.8,17,"159,000"
8,Power BI로 배우는 데이터 시각화,4.3,7,"100,000"
9,쉽고 빠르게 배우는 파이썬 GUI 프로그래밍,4.5,28,"130,000"
10,떠먹여주는 ChatGPT 데이터 분석(feat. 파이썬),4.9,14,"130,000"
11,나의 첫 웹크롤링 & 텍스트마이닝 with 파이썬,4.9,0,"110,000"
